Year,Series,Sexua,Units,Value
2012,Kolon eta ondesteko minbizia,,%,67.7
2024,Kolon eta ondesteko minbizia,,%,71.0
2019,Kolon eta ondesteko minbizia,,%,71.2
2020,Kolon eta ondesteko minbizia,,%,70.9
2015,Kolon eta ondesteko minbizia,,%,70.3
2014,Kolon eta ondesteko minbizia,,%,70.7
2023,Kolon eta ondesteko minbizia,,%,69.7
2021,Kolon eta ondesteko minbizia,,%,72.0
2018,Kolon eta ondesteko minbizia,,%,72.5
2016,Kolon eta ondesteko minbizia,,%,72.4
2025,Kolon eta ondesteko minbizia,,%,71.7
2017,Kolon eta ondesteko minbizia,,%,72.3
2013,Kolon eta ondesteko minbizia,,%,69.7
2022,Kolon eta ondesteko minbizia,,%,70.5
2016,Kolon eta ondesteko minbizia,Emakumea,%,74.6
2014,Kolon eta ondesteko minbizia,Emakumea,%,73.0
2025,Kolon eta ondesteko minbizia,Emakumea,%,73.8
2018,Kolon eta ondesteko minbizia,Emakumea,%,74.9
2023,Kolon eta ondesteko minbizia,Emakumea,%,72.2
2012,Kolon eta ondesteko minbizia,Emakumea,%,70.3
2024,Kolon eta ondesteko minbizia,Emakumea,%,73.6
2022,Kolon eta ondesteko minbizia,Emakumea,%,73.0
2021,Kolon eta ondesteko minbizia,Emakumea,%,74.4
2017,Kolon eta ondesteko minbizia,Emakumea,%,74.6
2020,Kolon eta ondesteko minbizia,Emakumea,%,73.5
2015,Kolon eta ondesteko minbizia,Emakumea,%,72.6
2013,Kolon eta ondesteko minbizia,Emakumea,%,72.1
2019,Kolon eta ondesteko minbizia,Emakumea,%,73.7
2025,Kolon eta ondesteko minbizia,Gizona,%,69.5
2022,Kolon eta ondesteko minbizia,Gizona,%,67.8
2016,Kolon eta ondesteko minbizia,Gizona,%,70.0
2023,Kolon eta ondesteko minbizia,Gizona,%,67.1
2024,Kolon eta ondesteko minbizia,Gizona,%,68.3
2015,Kolon eta ondesteko minbizia,Gizona,%,67.9
2013,Kolon eta ondesteko minbizia,Gizona,%,67.1
2014,Kolon eta ondesteko minbizia,Gizona,%,68.2
2020,Kolon eta ondesteko minbizia,Gizona,%,68.2
2021,Kolon eta ondesteko minbizia,Gizona,%,69.4
2019,Kolon eta ondesteko minbizia,Gizona,%,68.4
2017,Kolon eta ondesteko minbizia,Gizona,%,70.0
2012,Kolon eta ondesteko minbizia,Gizona,%,64.9
2018,Kolon eta ondesteko minbizia,Gizona,%,70.0
2017,Bularreko minbizia,,%,76.4
2019,Bularreko minbizia,,%,76.4
2012,Bularreko minbizia,,%,81.8
2021,Bularreko minbizia,,%,76.5
2016,Bularreko minbizia,,%,79.4
2023,Bularreko minbizia,,%,79.3
2014,Bularreko minbizia,,%,79.8
2018,Bularreko minbizia,,%,76.8
2015,Bularreko minbizia,,%,80.8
2024,Bularreko minbizia,,%,79.4
2013,Bularreko minbizia,,%,80.3
2022,Bularreko minbizia,,%,72.8
2020,Bularreko minbizia,,%,74.3
