Year,Series,Sexua,Units,Value
2013,Kolon eta ondesteko minbizia,,%,69.7
2014,Kolon eta ondesteko minbizia,,%,70.7
2017,Kolon eta ondesteko minbizia,,%,72.3
2023,Kolon eta ondesteko minbizia,,%,70.4
2019,Kolon eta ondesteko minbizia,,%,71.5
2022,Kolon eta ondesteko minbizia,,%,70.5
2012,Kolon eta ondesteko minbizia,,%,67.7
2015,Kolon eta ondesteko minbizia,,%,70.4
2018,Kolon eta ondesteko minbizia,,%,72.3
2020,Kolon eta ondesteko minbizia,,%,70.9
2021,Kolon eta ondesteko minbizia,,%,72.0
2016,Kolon eta ondesteko minbizia,,%,72.4
2015,Kolon eta ondesteko minbizia,Emakumea,%,72.6
2017,Kolon eta ondesteko minbizia,Emakumea,%,74.6
2021,Kolon eta ondesteko minbizia,Emakumea,%,74.0
2022,Kolon eta ondesteko minbizia,Emakumea,%,73.0
2014,Kolon eta ondesteko minbizia,Emakumea,%,73.0
2012,Kolon eta ondesteko minbizia,Emakumea,%,70.3
2016,Kolon eta ondesteko minbizia,Emakumea,%,74.6
2018,Kolon eta ondesteko minbizia,Emakumea,%,74.9
2019,Kolon eta ondesteko minbizia,Emakumea,%,73.7
2013,Kolon eta ondesteko minbizia,Emakumea,%,72.1
2020,Kolon eta ondesteko minbizia,Emakumea,%,73.4
2023,Kolon eta ondesteko minbizia,Emakumea,%,72.8
2022,Kolon eta ondesteko minbizia,Gizona,%,67.8
2018,Kolon eta ondesteko minbizia,Gizona,%,69.9
2023,Kolon eta ondesteko minbizia,Gizona,%,67.8
2020,Kolon eta ondesteko minbizia,Gizona,%,68.1
2021,Kolon eta ondesteko minbizia,Gizona,%,69.4
2012,Kolon eta ondesteko minbizia,Gizona,%,64.9
2016,Kolon eta ondesteko minbizia,Gizona,%,70.0
2015,Kolon eta ondesteko minbizia,Gizona,%,67.9
2014,Kolon eta ondesteko minbizia,Gizona,%,68.2
2013,Kolon eta ondesteko minbizia,Gizona,%,67.1
2017,Kolon eta ondesteko minbizia,Gizona,%,70.0
2019,Kolon eta ondesteko minbizia,Gizona,%,68.4
2021,Bularreko minbizia,Emakumea,%,76.5
2015,Bularreko minbizia,Emakumea,%,80.8
2014,Bularreko minbizia,Emakumea,%,79.8
2023,Bularreko minbizia,Emakumea,%,78.4
2016,Bularreko minbizia,Emakumea,%,79.4
2020,Bularreko minbizia,Emakumea,%,75.8
2018,Bularreko minbizia,Emakumea,%,77.2
2013,Bularreko minbizia,Emakumea,%,80.3
2022,Bularreko minbizia,Emakumea,%,73.2
2019,Bularreko minbizia,Emakumea,%,76.7
2012,Bularreko minbizia,Emakumea,%,81.8
2017,Bularreko minbizia,Emakumea,%,77.1
