Year,Series,Waste treatment operation,Province,Units,Value
2010,Hazardous waste generated per capita,,,Kg per capita,163.0
2014,Hazardous waste generated per capita,,,Kg per capita,148.8
2015,Hazardous waste generated per capita,,,Kg per capita,150.8
2019,Hazardous waste generated per capita,,,Kg per capita,150.5
2013,Hazardous waste generated per capita,,,Kg per capita,130.5
2018,Hazardous waste generated per capita,,,Kg per capita,149.6
2020,Hazardous waste generated per capita,,,Kg per capita,144.7
2011,Hazardous waste generated per capita,,,Kg per capita,151.2
2016,Hazardous waste generated per capita,,,Kg per capita,148.1
2017,Hazardous waste generated per capita,,,Kg per capita,145.4
2012,Hazardous waste generated per capita,,,Kg per capita,137.1
2014,Hazardous waste generated per capita,,Araba/Álava,Kg per capita,164.8
2012,Hazardous waste generated per capita,,Araba/Álava,Kg per capita,136.6
2019,Hazardous waste generated per capita,,Araba/Álava,Kg per capita,204.2
2016,Hazardous waste generated per capita,,Araba/Álava,Kg per capita,161.3
2018,Hazardous waste generated per capita,,Araba/Álava,Kg per capita,197.1
2020,Hazardous waste generated per capita,,Araba/Álava,Kg per capita,187.3
2011,Hazardous waste generated per capita,,Araba/Álava,Kg per capita,165.3
2017,Hazardous waste generated per capita,,Araba/Álava,Kg per capita,159.9
2013,Hazardous waste generated per capita,,Araba/Álava,Kg per capita,129.2
2015,Hazardous waste generated per capita,,Araba/Álava,Kg per capita,160.8
2010,Hazardous waste generated per capita,,Araba/Álava,Kg per capita,141.4
2015,Hazardous waste generated per capita,,Bizkaia,Kg per capita,184.2
2019,Hazardous waste generated per capita,,Bizkaia,Kg per capita,168.8
2014,Hazardous waste generated per capita,,Bizkaia,Kg per capita,183.0
2011,Hazardous waste generated per capita,,Bizkaia,Kg per capita,178.6
2016,Hazardous waste generated per capita,,Bizkaia,Kg per capita,180.3
2018,Hazardous waste generated per capita,,Bizkaia,Kg per capita,171.2
2010,Hazardous waste generated per capita,,Bizkaia,Kg per capita,201.3
2017,Hazardous waste generated per capita,,Bizkaia,Kg per capita,176.8
2020,Hazardous waste generated per capita,,Bizkaia,Kg per capita,157.0
2012,Hazardous waste generated per capita,,Bizkaia,Kg per capita,166.3
2013,Hazardous waste generated per capita,,Bizkaia,Kg per capita,159.5
2012,Hazardous waste generated per capita,,Gipuzkoa,Kg per capita,89.5
2010,Hazardous waste generated per capita,,Gipuzkoa,Kg per capita,109.9
2019,Hazardous waste generated per capita,,Gipuzkoa,Kg per capita,97.0
2014,Hazardous waste generated per capita,,Gipuzkoa,Kg per capita,86.5
2017,Hazardous waste generated per capita,,Gipuzkoa,Kg per capita,88.7
2015,Hazardous waste generated per capita,,Gipuzkoa,Kg per capita,92.6
2011,Hazardous waste generated per capita,,Gipuzkoa,Kg per capita,99.9
2018,Hazardous waste generated per capita,,Gipuzkoa,Kg per capita,93.4
2013,Hazardous waste generated per capita,,Gipuzkoa,Kg per capita,84.0
2016,Hazardous waste generated per capita,,Gipuzkoa,Kg per capita,90.4
2020,Hazardous waste generated per capita,,Gipuzkoa,Kg per capita,105.5
2017,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,,%,64.4
2012,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,,%,61.5
2020,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,,%,59.1
2010,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,,%,60.1
2015,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,,%,67.7
2016,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,,%,66.1
2018,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,,%,64.7
2014,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,,%,66.6
2019,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,,%,65.0
2013,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,,%,68.7
2011,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,,%,66.7
2017,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Araba/Álava,%,54.7
2018,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Araba/Álava,%,50.6
2011,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Araba/Álava,%,51.3
2010,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Araba/Álava,%,34.5
2014,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Araba/Álava,%,54.9
2020,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Araba/Álava,%,63.1
2015,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Araba/Álava,%,60.1
2012,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Araba/Álava,%,50.2
2016,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Araba/Álava,%,54.8
2019,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Araba/Álava,%,59.2
2013,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Araba/Álava,%,43.6
2013,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Bizkaia,%,75.7
2018,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Bizkaia,%,71.3
2017,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Bizkaia,%,69.4
2020,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Bizkaia,%,62.5
2011,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Bizkaia,%,69.9
2014,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Bizkaia,%,71.0
2010,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Bizkaia,%,60.9
2015,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Bizkaia,%,71.2
2019,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Bizkaia,%,69.9
2012,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Bizkaia,%,63.4
2016,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Bizkaia,%,70.8
2010,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Gipuzkoa,%,76.9
2016,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Gipuzkoa,%,60.3
2017,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Gipuzkoa,%,56.6
2014,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Gipuzkoa,%,61.6
2015,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Gipuzkoa,%,62.7
2018,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Gipuzkoa,%,58.9
2019,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Gipuzkoa,%,56.8
2020,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Gipuzkoa,%,47.7
2013,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Gipuzkoa,%,64.6
2011,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Gipuzkoa,%,68.9
2012,"Proportion of hazardous waste treated, broken down by treatment type",Recycling,Gipuzkoa,%,63.8
2011,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,,%,0.5
2017,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,,%,0.9
2018,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,,%,0.9
2019,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,,%,1.1
2013,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,,%,0.5
2014,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,,%,1.0
2010,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,,%,0.5
2012,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,,%,0.2
2020,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,,%,1.0
2015,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,,%,1.8
2016,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,,%,1.0
2016,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,%,0.6
2019,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,%,0.4
2018,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,%,0.6
2010,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,%,0.1
2015,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,%,1.1
2014,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,%,0.7
2012,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,%,0.1
2017,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,%,0.4
2011,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,%,0.3
2013,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,%,2.9
2020,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,%,0.5
2014,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,%,1.3
2020,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,%,1.5
2017,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,%,1.1
2019,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,%,1.5
2012,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,%,0.3
2018,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,%,1.3
2016,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,%,1.2
2010,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,%,0.7
2015,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,%,2.1
2013,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,%,0.1
2011,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,%,0.7
2019,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,%,0.5
2011,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,%,0.2
