Year,Series,Units,Value
2019,Proportion of good-quality groundwater bodies,PT,88.9
2023,Proportion of good-quality groundwater bodies,PT,88.9
2021,Proportion of good-quality groundwater bodies,PT,88.9
2022,Proportion of good-quality groundwater bodies,PT,88.9
2020,Proportion of good-quality groundwater bodies,PT,88.9
2018,Proportion of good-quality groundwater bodies,PT,91.7
2019,Proportion of good-quality surface water bodies,PT,50.0
2017,Proportion of good-quality surface water bodies,PT,53.0
2023,Proportion of good-quality surface water bodies,PT,48.5
2018,Proportion of good-quality surface water bodies,PT,61.8
2022,Proportion of good-quality surface water bodies,PT,50.3
2016,Proportion of good-quality surface water bodies,PT,50.0
2020,Proportion of good-quality surface water bodies,PT,53.0
2015,Proportion of good-quality surface water bodies,PT,48.1
2021,Proportion of good-quality surface water bodies,PT,56.6
2015,Proportion of good-quality river water bodies,PT,45.5
2017,Proportion of good-quality river water bodies,PT,50.4
2018,Proportion of good-quality river water bodies,PT,60.3
2022,Proportion of good-quality river water bodies,PT,45.3
2016,Proportion of good-quality river water bodies,PT,48.8
2019,Proportion of good-quality river water bodies,PT,45.7
2020,Proportion of good-quality river water bodies,PT,48.0
2021,Proportion of good-quality river water bodies,PT,55.1
2023,Proportion of good-quality river water bodies,PT,43.4
