Year,Series,Territorio,Units,Value
2022,EU_EMAS,,ORGANISATIONS,93
2023,EU_EMAS,,ORGANISATIONS,99
2021,EU_EMAS,,ORGANISATIONS,85
2023,EU_EMAS,ES211,ORGANISATIONS,9
2021,EU_EMAS,ES211,ORGANISATIONS,8
2022,EU_EMAS,ES211,ORGANISATIONS,9
2021,EU_EMAS,ES213,ORGANISATIONS,47
2023,EU_EMAS,ES213,ORGANISATIONS,53
2022,EU_EMAS,ES213,ORGANISATIONS,48
2021,EU_EMAS,ES212,ORGANISATIONS,30
2022,EU_EMAS,ES212,ORGANISATIONS,36
2023,EU_EMAS,ES212,ORGANISATIONS,37
2021,EU_ECOLABEL,,LICENCES,57
2017,EU_ECOLABEL,,LICENCES,43
2023,EU_ECOLABEL,,LICENCES,61
2020,EU_ECOLABEL,,LICENCES,55
2013,EU_ECOLABEL,,LICENCES,18
2010,EU_ECOLABEL,,LICENCES,13
2018,EU_ECOLABEL,,LICENCES,52
2016,EU_ECOLABEL,,LICENCES,40
2015,EU_ECOLABEL,,LICENCES,19
2012,EU_ECOLABEL,,LICENCES,16
2022,EU_ECOLABEL,,LICENCES,58
2019,EU_ECOLABEL,,LICENCES,51
2011,EU_ECOLABEL,,LICENCES,15
2014,EU_ECOLABEL,,LICENCES,19
2022,EU_ECOLABEL,ES211,LICENCES,14
2021,EU_ECOLABEL,ES211,LICENCES,14
2021,EU_ECOLABEL,ES213,LICENCES,26
2022,EU_ECOLABEL,ES213,LICENCES,25
2022,EU_ECOLABEL,ES212,LICENCES,19
2021,EU_ECOLABEL,ES212,LICENCES,17
