Year,Series,Province,County,Municipality,Units,GeoCode,Value
2010,Forest area as a proportion of total area,,,,PT,,54.9
2022,Forest area as a proportion of total area,,,,PT,,54.8
2020,Forest area as a proportion of total area,,,,PT,,54.7
2018,Forest area as a proportion of total area,,,,PT,,54.2
2019,Forest area as a proportion of total area,,,,PT,,54.5
2021,Forest area as a proportion of total area,,,,PT,,54.8
2016,Forest area as a proportion of total area,,,,PT,,54.9
2021,Forest area as a proportion of total area,,,Abadiño,PT,Abadiño,53.3
2022,Forest area as a proportion of total area,,,Abadiño,PT,Abadiño,53.4
2020,Forest area as a proportion of total area,,,Abadiño,PT,Abadiño,53.3
2018,Forest area as a proportion of total area,,,Abadiño,PT,Abadiño,52.5
2019,Forest area as a proportion of total area,,,Abadiño,PT,Abadiño,52.8
2016,Forest area as a proportion of total area,,,Abadiño,PT,Abadiño,53.5
2010,Forest area as a proportion of total area,,,Abadiño,PT,Abadiño,53.3
2019,Forest area as a proportion of total area,,,Abaltzisketa,PT,Abaltzisketa,50.4
2018,Forest area as a proportion of total area,,,Abaltzisketa,PT,Abaltzisketa,50.4
2016,Forest area as a proportion of total area,,,Abaltzisketa,PT,Abaltzisketa,52.5
2010,Forest area as a proportion of total area,,,Abaltzisketa,PT,Abaltzisketa,53.5
2022,Forest area as a proportion of total area,,,Abaltzisketa,PT,Abaltzisketa,50.4
2020,Forest area as a proportion of total area,,,Abaltzisketa,PT,Abaltzisketa,50.4
2021,Forest area as a proportion of total area,,,Abaltzisketa,PT,Abaltzisketa,50.4
2022,Forest area as a proportion of total area,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,29.9
2018,Forest area as a proportion of total area,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,35.7
2021,Forest area as a proportion of total area,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,29.9
2020,Forest area as a proportion of total area,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,29.9
2010,Forest area as a proportion of total area,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,35.7
2019,Forest area as a proportion of total area,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,29.4
2016,Forest area as a proportion of total area,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,35.7
2018,Forest area as a proportion of total area,,,Aduna,PT,Aduna,62.3
2020,Forest area as a proportion of total area,,,Aduna,PT,Aduna,62.2
2016,Forest area as a proportion of total area,,,Aduna,PT,Aduna,65.3
2010,Forest area as a proportion of total area,,,Aduna,PT,Aduna,67.0
2019,Forest area as a proportion of total area,,,Aduna,PT,Aduna,62.2
2022,Forest area as a proportion of total area,,,Aduna,PT,Aduna,62.2
2021,Forest area as a proportion of total area,,,Aduna,PT,Aduna,62.2
2018,Forest area as a proportion of total area,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,20.4
2016,Forest area as a proportion of total area,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,20.4
2019,Forest area as a proportion of total area,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,20.4
2020,Forest area as a proportion of total area,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,20.4
2010,Forest area as a proportion of total area,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,19.8
2021,Forest area as a proportion of total area,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,20.4
2022,Forest area as a proportion of total area,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,20.4
2018,Forest area as a proportion of total area,,,Aia,PT,Aia,50.3
2021,Forest area as a proportion of total area,,,Aia,PT,Aia,51.0
2019,Forest area as a proportion of total area,,,Aia,PT,Aia,50.9
2020,Forest area as a proportion of total area,,,Aia,PT,Aia,51.0
2016,Forest area as a proportion of total area,,,Aia,PT,Aia,51.4
2010,Forest area as a proportion of total area,,,Aia,PT,Aia,51.6
2022,Forest area as a proportion of total area,,,Aia,PT,Aia,51.0
2016,Forest area as a proportion of total area,,,Aizarnazabal,PT,Aizarnazabal,36.3
2021,Forest area as a proportion of total area,,,Aizarnazabal,PT,Aizarnazabal,34.3
2020,Forest area as a proportion of total area,,,Aizarnazabal,PT,Aizarnazabal,34.1
2010,Forest area as a proportion of total area,,,Aizarnazabal,PT,Aizarnazabal,37.8
2018,Forest area as a proportion of total area,,,Aizarnazabal,PT,Aizarnazabal,33.4
2022,Forest area as a proportion of total area,,,Aizarnazabal,PT,Aizarnazabal,34.3
2019,Forest area as a proportion of total area,,,Aizarnazabal,PT,Aizarnazabal,34.1
2010,Forest area as a proportion of total area,,,Ajangiz,PT,Ajangiz,53.7
2020,Forest area as a proportion of total area,,,Ajangiz,PT,Ajangiz,54.9
2016,Forest area as a proportion of total area,,,Ajangiz,PT,Ajangiz,57.1
2022,Forest area as a proportion of total area,,,Ajangiz,PT,Ajangiz,55.0
2019,Forest area as a proportion of total area,,,Ajangiz,PT,Ajangiz,54.7
2021,Forest area as a proportion of total area,,,Ajangiz,PT,Ajangiz,54.9
2018,Forest area as a proportion of total area,,,Ajangiz,PT,Ajangiz,54.5
2016,Forest area as a proportion of total area,,,Albiztur,PT,Albiztur,65.3
2020,Forest area as a proportion of total area,,,Albiztur,PT,Albiztur,64.4
2018,Forest area as a proportion of total area,,,Albiztur,PT,Albiztur,63.9
2010,Forest area as a proportion of total area,,,Albiztur,PT,Albiztur,68.9
2022,Forest area as a proportion of total area,,,Albiztur,PT,Albiztur,64.6
2019,Forest area as a proportion of total area,,,Albiztur,PT,Albiztur,64.0
2021,Forest area as a proportion of total area,,,Albiztur,PT,Albiztur,64.4
2019,Forest area as a proportion of total area,,,Alegia,PT,Alegia,69.4
2021,Forest area as a proportion of total area,,,Alegia,PT,Alegia,69.4
2010,Forest area as a proportion of total area,,,Alegia,PT,Alegia,72.6
2016,Forest area as a proportion of total area,,,Alegia,PT,Alegia,71.2
2020,Forest area as a proportion of total area,,,Alegia,PT,Alegia,69.4
2018,Forest area as a proportion of total area,,,Alegia,PT,Alegia,68.8
2022,Forest area as a proportion of total area,,,Alegia,PT,Alegia,69.4
2018,Forest area as a proportion of total area,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,32.9
2019,Forest area as a proportion of total area,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,32.9
2021,Forest area as a proportion of total area,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,32.9
2022,Forest area as a proportion of total area,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,32.9
2020,Forest area as a proportion of total area,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,32.9
2016,Forest area as a proportion of total area,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,32.9
2010,Forest area as a proportion of total area,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,33.6
2018,Forest area as a proportion of total area,,,Alkiza,PT,Alkiza,68.0
2021,Forest area as a proportion of total area,,,Alkiza,PT,Alkiza,68.0
2016,Forest area as a proportion of total area,,,Alkiza,PT,Alkiza,68.9
2010,Forest area as a proportion of total area,,,Alkiza,PT,Alkiza,70.4
2020,Forest area as a proportion of total area,,,Alkiza,PT,Alkiza,68.0
2022,Forest area as a proportion of total area,,,Alkiza,PT,Alkiza,67.9
2019,Forest area as a proportion of total area,,,Alkiza,PT,Alkiza,68.1
2018,Forest area as a proportion of total area,,,Alonsotegi,PT,Alonsotegi,52.4
2019,Forest area as a proportion of total area,,,Alonsotegi,PT,Alonsotegi,52.1
2022,Forest area as a proportion of total area,,,Alonsotegi,PT,Alonsotegi,54.5
2021,Forest area as a proportion of total area,,,Alonsotegi,PT,Alonsotegi,54.5
2016,Forest area as a proportion of total area,,,Alonsotegi,PT,Alonsotegi,51.5
2010,Forest area as a proportion of total area,,,Alonsotegi,PT,Alonsotegi,47.6
2020,Forest area as a proportion of total area,,,Alonsotegi,PT,Alonsotegi,54.6
2019,Forest area as a proportion of total area,,,Altzaga,PT,Altzaga,61.1
2018,Forest area as a proportion of total area,,,Altzaga,PT,Altzaga,61.1
2020,Forest area as a proportion of total area,,,Altzaga,PT,Altzaga,61.1
2021,Forest area as a proportion of total area,,,Altzaga,PT,Altzaga,61.8
2010,Forest area as a proportion of total area,,,Altzaga,PT,Altzaga,60.4
2016,Forest area as a proportion of total area,,,Altzaga,PT,Altzaga,62.6
2022,Forest area as a proportion of total area,,,Altzaga,PT,Altzaga,61.8
