Year,Series,Sexua,Desgaitasunik ez duten pertsonak,Units,Value
2022,Orduko batez besteko diru-sarrera,,,Eurotan,20.8
2020,Orduko batez besteko diru-sarrera,,,Eurotan,19.9
2016,Orduko batez besteko diru-sarrera,,,Eurotan,18.2
2010,Orduko batez besteko diru-sarrera,,,Eurotan,17.4
2011,Orduko batez besteko diru-sarrera,,,Eurotan,17.2
2012,Orduko batez besteko diru-sarrera,,,Eurotan,17.4
2014,Orduko batez besteko diru-sarrera,,,Eurotan,18.3
2015,Orduko batez besteko diru-sarrera,,,Eurotan,18.4
2021,Orduko batez besteko diru-sarrera,,,Eurotan,20.4
2017,Orduko batez besteko diru-sarrera,,,Eurotan,18.5
2013,Orduko batez besteko diru-sarrera,,,Eurotan,17.5
2019,Orduko batez besteko diru-sarrera,,,Eurotan,19.5
2018,Orduko batez besteko diru-sarrera,,,Eurotan,18.9
2018,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Eurotan,19.0
2013,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Eurotan,17.7
2017,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Eurotan,18.6
2011,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Eurotan,17.2
2012,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Eurotan,17.5
2015,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Eurotan,18.5
2014,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Eurotan,18.5
2016,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Eurotan,18.3
2010,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Eurotan,17.5
2016,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Eurotan,13.3
2015,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Eurotan,14.1
2014,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Eurotan,13.7
2011,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Eurotan,14.4
2017,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Eurotan,13.7
2012,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Eurotan,14.6
2018,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Eurotan,15.4
2013,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Eurotan,13.4
2010,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Eurotan,14.9
2020,Orduko batez besteko diru-sarrera,Emakumea,,Eurotan,19.0
2016,Orduko batez besteko diru-sarrera,Emakumea,,Eurotan,16.6
2022,Orduko batez besteko diru-sarrera,Emakumea,,Eurotan,19.8
2010,Orduko batez besteko diru-sarrera,Emakumea,,Eurotan,15.7
2021,Orduko batez besteko diru-sarrera,Emakumea,,Eurotan,19.6
2013,Orduko batez besteko diru-sarrera,Emakumea,,Eurotan,15.4
2012,Orduko batez besteko diru-sarrera,Emakumea,,Eurotan,15.3
2017,Orduko batez besteko diru-sarrera,Emakumea,,Eurotan,17.0
2018,Orduko batez besteko diru-sarrera,Emakumea,,Eurotan,17.6
2011,Orduko batez besteko diru-sarrera,Emakumea,,Eurotan,15.2
2019,Orduko batez besteko diru-sarrera,Emakumea,,Eurotan,18.5
2015,Orduko batez besteko diru-sarrera,Emakumea,,Eurotan,17.0
2014,Orduko batez besteko diru-sarrera,Emakumea,,Eurotan,16.7
2019,Orduko batez besteko diru-sarrera,Gizona,,Eurotan,20.4
2020,Orduko batez besteko diru-sarrera,Gizona,,Eurotan,20.7
2012,Orduko batez besteko diru-sarrera,Gizona,,Eurotan,19.1
2021,Orduko batez besteko diru-sarrera,Gizona,,Eurotan,21.1
2014,Orduko batez besteko diru-sarrera,Gizona,,Eurotan,19.6
2017,Orduko batez besteko diru-sarrera,Gizona,,Eurotan,19.6
2010,Orduko batez besteko diru-sarrera,Gizona,,Eurotan,18.6
2013,Orduko batez besteko diru-sarrera,Gizona,,Eurotan,19.1
2018,Orduko batez besteko diru-sarrera,Gizona,,Eurotan,20.0
2011,Orduko batez besteko diru-sarrera,Gizona,,Eurotan,18.6
2022,Orduko batez besteko diru-sarrera,Gizona,,Eurotan,21.7
2015,Orduko batez besteko diru-sarrera,Gizona,,Eurotan,19.5
2016,Orduko batez besteko diru-sarrera,Gizona,,Eurotan,19.4
2014,Genero-aldea soldatan,,,%,15.1
2017,Genero-aldea soldatan,,,%,12.8
2019,Genero-aldea soldatan,,,%,9.5
2015,Genero-aldea soldatan,,,%,12.8
2012,Genero-aldea soldatan,,,%,20.1
2021,Genero-aldea soldatan,,,%,7.3
2018,Genero-aldea soldatan,,,%,11.9
2016,Genero-aldea soldatan,,,%,14.3
2011,Genero-aldea soldatan,,,%,18.1
2013,Genero-aldea soldatan,,,%,19.6
2022,Genero-aldea soldatan,,,%,8.8
2010,Genero-aldea soldatan,,,%,15.4
2020,Genero-aldea soldatan,,,%,8.3
