Year,Series,Territorio,Units,Value
2010,GB_XPD_RSDV,,PT,2.0
2013,GB_XPD_RSDV,,PT,2.0
2018,GB_XPD_RSDV,,PT,1.8
2016,GB_XPD_RSDV,,PT,1.8
2023,GB_XPD_RSDV,,PT,2.2
2019,GB_XPD_RSDV,,PT,1.8
2014,GB_XPD_RSDV,,PT,1.9
2022,GB_XPD_RSDV,,PT,2.1
2012,GB_XPD_RSDV,,PT,2.1
2021,GB_XPD_RSDV,,PT,2.1
2011,GB_XPD_RSDV,,PT,2.0
2017,GB_XPD_RSDV,,PT,1.8
2015,GB_XPD_RSDV,,PT,1.8
2020,GB_XPD_RSDV,,PT,2.1
2023,GB_XPD_RSDV,ES211,PT,1.6
2021,GB_XPD_RSDV,ES211,PT,1.3
2017,GB_XPD_RSDV,ES211,PT,1.3
2020,GB_XPD_RSDV,ES211,PT,1.3
2015,GB_XPD_RSDV,ES211,PT,1.4
2014,GB_XPD_RSDV,ES211,PT,1.5
2013,GB_XPD_RSDV,ES211,PT,1.6
2012,GB_XPD_RSDV,ES211,PT,1.6
2022,GB_XPD_RSDV,ES211,PT,1.4
2016,GB_XPD_RSDV,ES211,PT,1.3
2011,GB_XPD_RSDV,ES211,PT,1.5
2010,GB_XPD_RSDV,ES211,PT,1.6
2019,GB_XPD_RSDV,ES211,PT,1.2
2018,GB_XPD_RSDV,ES211,PT,1.3
2020,GB_XPD_RSDV,ES213,PT,1.9
2022,GB_XPD_RSDV,ES213,PT,1.9
2021,GB_XPD_RSDV,ES213,PT,2.0
2011,GB_XPD_RSDV,ES213,PT,1.9
2010,GB_XPD_RSDV,ES213,PT,1.9
2015,GB_XPD_RSDV,ES213,PT,1.7
2012,GB_XPD_RSDV,ES213,PT,1.9
2013,GB_XPD_RSDV,ES213,PT,1.9
2019,GB_XPD_RSDV,ES213,PT,1.7
2016,GB_XPD_RSDV,ES213,PT,1.7
2018,GB_XPD_RSDV,ES213,PT,1.7
2014,GB_XPD_RSDV,ES213,PT,1.8
2017,GB_XPD_RSDV,ES213,PT,1.7
2023,GB_XPD_RSDV,ES213,PT,1.9
2010,GB_XPD_RSDV,ES212,PT,2.4
2013,GB_XPD_RSDV,ES212,PT,2.4
2012,GB_XPD_RSDV,ES212,PT,2.6
2014,GB_XPD_RSDV,ES212,PT,2.3
2017,GB_XPD_RSDV,ES212,PT,2.3
2011,GB_XPD_RSDV,ES212,PT,2.5
2016,GB_XPD_RSDV,ES212,PT,2.2
2018,GB_XPD_RSDV,ES212,PT,2.3
2023,GB_XPD_RSDV,ES212,PT,2.8
2021,GB_XPD_RSDV,ES212,PT,2.6
2020,GB_XPD_RSDV,ES212,PT,2.6
2022,GB_XPD_RSDV,ES212,PT,2.7
2015,GB_XPD_RSDV,ES212,PT,2.2
2019,GB_XPD_RSDV,ES212,PT,2.3
