Year,Territorio histórico,Units,Value
2022,,%,99.92
2012,,%,99.96
2021,,%,99.94
2016,,%,99.94
2017,,%,99.94
2013,,%,99.96
2014,,%,99.93
2011,,%,99.92
2023,,%,99.91
2020,,%,99.97
2010,,%,99.97
2018,,%,99.94
2019,,%,99.93
2024,,%,99.89
2015,,%,99.88
2013,Araba/Álava,%,99.93
2010,Araba/Álava,%,100.0
2017,Araba/Álava,%,99.9
2014,Araba/Álava,%,99.84
2018,Araba/Álava,%,99.85
2020,Araba/Álava,%,99.92
2021,Araba/Álava,%,99.91
2011,Araba/Álava,%,99.82
2024,Araba/Álava,%,100.0
2015,Araba/Álava,%,99.81
2022,Araba/Álava,%,99.96
2023,Araba/Álava,%,99.91
2019,Araba/Álava,%,99.92
2012,Araba/Álava,%,99.94
2016,Araba/Álava,%,99.83
2011,Bizkaia,%,99.95
2013,Bizkaia,%,99.97
2014,Bizkaia,%,99.96
2015,Bizkaia,%,99.9
2017,Bizkaia,%,99.96
2018,Bizkaia,%,99.94
2019,Bizkaia,%,99.9
2021,Bizkaia,%,99.96
2022,Bizkaia,%,99.88
2023,Bizkaia,%,99.91
2024,Bizkaia,%,99.87
2010,Bizkaia,%,99.96
2020,Bizkaia,%,99.96
2016,Bizkaia,%,99.97
2012,Bizkaia,%,99.96
2024,Gipuzkoa,%,99.86
2010,Gipuzkoa,%,99.96
2011,Gipuzkoa,%,99.93
2012,Gipuzkoa,%,99.96
2013,Gipuzkoa,%,99.97
2014,Gipuzkoa,%,99.94
2015,Gipuzkoa,%,99.87
2016,Gipuzkoa,%,99.97
2017,Gipuzkoa,%,99.93
2018,Gipuzkoa,%,99.98
2019,Gipuzkoa,%,99.98
2020,Gipuzkoa,%,100.0
2021,Gipuzkoa,%,99.92
2022,Gipuzkoa,%,99.95
2023,Gipuzkoa,%,99.91
