Year,Value,Units,Series,GeoCode
2013,91.22,%,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,
2022,105.06,%,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,
2020,99.79,%,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,
2021,101.01,%,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,
2015,95.46,%,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,
2014,98.26,%,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,
2011,96.27,%,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,
2016,94.36,%,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,
2012,97.69,%,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,
2010,100.0,%,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,
2017,97.52,%,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,
2019,106.56,%,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,
2018,99.46,%,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,
2012,93.03,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2011,100.45,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2019,100.27,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2020,93.84,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2010,110.23,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2018,97.17,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2022,100.26,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2013,100.2,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2017,96.78,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2021,99.22,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2016,97.37,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2014,98.47,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2015,98.05,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
