Year,Value,Units,Series
2022,78.48,Milioi eurotan,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia
2013,40.98,Milioi eurotan,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia
2021,73.9,Milioi eurotan,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia
2017,65.96,Milioi eurotan,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia
2012,61.89,Milioi eurotan,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia
2015,49.43,Milioi eurotan,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia
2016,52.35,Milioi eurotan,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia
2018,60.66,Milioi eurotan,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia
2010,70.73,Milioi eurotan,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia
2023,80.53,Milioi eurotan,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia
2020,65.98,Milioi eurotan,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia
2011,67.21,Milioi eurotan,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia
2019,63.9,Milioi eurotan,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia
2014,49.62,Milioi eurotan,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia
2010,0.11,%,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan"
2011,0.1,%,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan"
2013,0.06,%,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan"
2014,0.07,%,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan"
2022,0.09,%,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan"
2015,0.07,%,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan"
2016,0.07,%,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan"
2017,0.09,%,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan"
2018,0.08,%,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan"
2012,0.09,%,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan"
2019,0.08,%,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan"
2020,0.09,%,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan"
2021,0.09,%,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan"
2023,0.09,%,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan"
