Year,Value,Units,Series
2022,18.0,Kg hektareako,Nekazaritza eta abeltzaintzako amoniako-isuriak hektareako
2018,18.2,Kg hektareako,Nekazaritza eta abeltzaintzako amoniako-isuriak hektareako
2012,19.2,Kg hektareako,Nekazaritza eta abeltzaintzako amoniako-isuriak hektareako
2011,18.6,Kg hektareako,Nekazaritza eta abeltzaintzako amoniako-isuriak hektareako
2017,19.2,Kg hektareako,Nekazaritza eta abeltzaintzako amoniako-isuriak hektareako
2021,18.1,Kg hektareako,Nekazaritza eta abeltzaintzako amoniako-isuriak hektareako
2019,18.4,Kg hektareako,Nekazaritza eta abeltzaintzako amoniako-isuriak hektareako
2010,19.6,Kg hektareako,Nekazaritza eta abeltzaintzako amoniako-isuriak hektareako
2016,19.2,Kg hektareako,Nekazaritza eta abeltzaintzako amoniako-isuriak hektareako
2015,19.1,Kg hektareako,Nekazaritza eta abeltzaintzako amoniako-isuriak hektareako
2014,19.3,Kg hektareako,Nekazaritza eta abeltzaintzako amoniako-isuriak hektareako
2023,16.1,Kg hektareako,Nekazaritza eta abeltzaintzako amoniako-isuriak hektareako
2020,18.5,Kg hektareako,Nekazaritza eta abeltzaintzako amoniako-isuriak hektareako
2013,18.6,Kg hektareako,Nekazaritza eta abeltzaintzako amoniako-isuriak hektareako
2012,4.2,Kilotona,Nekazaritzaren eta abeltzaintzaren amoniako-isuriak
2011,4.1,Kilotona,Nekazaritzaren eta abeltzaintzaren amoniako-isuriak
2023,3.6,Kilotona,Nekazaritzaren eta abeltzaintzaren amoniako-isuriak
2017,4.3,Kilotona,Nekazaritzaren eta abeltzaintzaren amoniako-isuriak
2019,4.1,Kilotona,Nekazaritzaren eta abeltzaintzaren amoniako-isuriak
2021,4.0,Kilotona,Nekazaritzaren eta abeltzaintzaren amoniako-isuriak
2010,4.3,Kilotona,Nekazaritzaren eta abeltzaintzaren amoniako-isuriak
2018,4.0,Kilotona,Nekazaritzaren eta abeltzaintzaren amoniako-isuriak
2016,4.2,Kilotona,Nekazaritzaren eta abeltzaintzaren amoniako-isuriak
2020,4.1,Kilotona,Nekazaritzaren eta abeltzaintzaren amoniako-isuriak
2022,4.0,Kilotona,Nekazaritzaren eta abeltzaintzaren amoniako-isuriak
2014,4.3,Kilotona,Nekazaritzaren eta abeltzaintzaren amoniako-isuriak
2015,4.2,Kilotona,Nekazaritzaren eta abeltzaintzaren amoniako-isuriak
2013,4.1,Kilotona,Nekazaritzaren eta abeltzaintzaren amoniako-isuriak
