Year,Sex,Province,Units,Value
2011,,,"Per 100,000 inhabitants",3.7
2010,,,"Per 100,000 inhabitants",4.1
2020,,,"Per 100,000 inhabitants",2.7
2014,,,"Per 100,000 inhabitants",2.6
2013,,,"Per 100,000 inhabitants",3.7
2024,,,"Per 100,000 inhabitants",2.8
2021,,,"Per 100,000 inhabitants",2.9
2019,,,"Per 100,000 inhabitants",3.1
2023,,,"Per 100,000 inhabitants",3.0
2016,,,"Per 100,000 inhabitants",3.8
2015,,,"Per 100,000 inhabitants",3.5
2018,,,"Per 100,000 inhabitants",2.8
2012,,,"Per 100,000 inhabitants",4.0
2017,,,"Per 100,000 inhabitants",3.1
2022,,,"Per 100,000 inhabitants",3.7
2015,,Araba/Álava,"Per 100,000 inhabitants",2.2
2023,,Araba/Álava,"Per 100,000 inhabitants",2.1
2016,,Araba/Álava,"Per 100,000 inhabitants",2.2
2021,,Araba/Álava,"Per 100,000 inhabitants",2.4
2024,,Araba/Álava,"Per 100,000 inhabitants",3.6
2017,,Araba/Álava,"Per 100,000 inhabitants",3.4
2018,,Araba/Álava,"Per 100,000 inhabitants",3.4
2019,,Araba/Álava,"Per 100,000 inhabitants",5.2
2011,,Araba/Álava,"Per 100,000 inhabitants",2.2
2012,,Araba/Álava,"Per 100,000 inhabitants",4.4
2014,,Araba/Álava,"Per 100,000 inhabitants",3.7
2020,,Araba/Álava,"Per 100,000 inhabitants",1.5
2013,,Araba/Álava,"Per 100,000 inhabitants",4.1
2010,,Araba/Álava,"Per 100,000 inhabitants",3.1
2022,,Araba/Álava,"Per 100,000 inhabitants",3.9
2015,,Bizkaia,"Per 100,000 inhabitants",2.6
2014,,Bizkaia,"Per 100,000 inhabitants",2.4
2017,,Bizkaia,"Per 100,000 inhabitants",1.9
2010,,Bizkaia,"Per 100,000 inhabitants",4.1
2023,,Bizkaia,"Per 100,000 inhabitants",2.2
2012,,Bizkaia,"Per 100,000 inhabitants",4.4
2022,,Bizkaia,"Per 100,000 inhabitants",3.4
2024,,Bizkaia,"Per 100,000 inhabitants",1.9
2016,,Bizkaia,"Per 100,000 inhabitants",4.1
2021,,Bizkaia,"Per 100,000 inhabitants",3.1
2013,,Bizkaia,"Per 100,000 inhabitants",3.2
2019,,Bizkaia,"Per 100,000 inhabitants",3.0
2018,,Bizkaia,"Per 100,000 inhabitants",2.5
2020,,Bizkaia,"Per 100,000 inhabitants",2.9
2011,,Bizkaia,"Per 100,000 inhabitants",3.6
2018,,Gipuzkoa,"Per 100,000 inhabitants",3.1
2021,,Gipuzkoa,"Per 100,000 inhabitants",2.8
2019,,Gipuzkoa,"Per 100,000 inhabitants",2.5
2015,,Gipuzkoa,"Per 100,000 inhabitants",5.3
2010,,Gipuzkoa,"Per 100,000 inhabitants",4.4
2011,,Gipuzkoa,"Per 100,000 inhabitants",4.4
2020,,Gipuzkoa,"Per 100,000 inhabitants",2.9
2012,,Gipuzkoa,"Per 100,000 inhabitants",3.1
2014,,Gipuzkoa,"Per 100,000 inhabitants",2.5
2022,,Gipuzkoa,"Per 100,000 inhabitants",4.2
2016,,Gipuzkoa,"Per 100,000 inhabitants",3.9
2023,,Gipuzkoa,"Per 100,000 inhabitants",4.7
2013,,Gipuzkoa,"Per 100,000 inhabitants",4.2
2024,,Gipuzkoa,"Per 100,000 inhabitants",3.9
2017,,Gipuzkoa,"Per 100,000 inhabitants",4.9
2015,Female,,"Per 100,000 inhabitants",1.4
2013,Female,,"Per 100,000 inhabitants",1.4
2022,Female,,"Per 100,000 inhabitants",1.6
2016,Female,,"Per 100,000 inhabitants",1.3
2012,Female,,"Per 100,000 inhabitants",1.9
2014,Female,,"Per 100,000 inhabitants",1.2
2018,Female,,"Per 100,000 inhabitants",1.4
2017,Female,,"Per 100,000 inhabitants",1.8
2011,Female,,"Per 100,000 inhabitants",1.9
2024,Female,,"Per 100,000 inhabitants",1.8
2021,Female,,"Per 100,000 inhabitants",1.0
2010,Female,,"Per 100,000 inhabitants",1.6
2023,Female,,"Per 100,000 inhabitants",1.0
2019,Female,,"Per 100,000 inhabitants",1.1
2020,Female,,"Per 100,000 inhabitants",1.5
2024,Female,Araba/Álava,"Per 100,000 inhabitants",2.3
2022,Female,Araba/Álava,"Per 100,000 inhabitants",1.8
2015,Female,Araba/Álava,"Per 100,000 inhabitants",1.2
2020,Female,Araba/Álava,"Per 100,000 inhabitants",0.6
2019,Female,Araba/Álava,"Per 100,000 inhabitants",1.8
2017,Female,Araba/Álava,"Per 100,000 inhabitants",3.0
2013,Female,Araba/Álava,"Per 100,000 inhabitants",1.9
2011,Female,Araba/Álava,"Per 100,000 inhabitants",0.6
2023,Female,Araba/Álava,"Per 100,000 inhabitants",1.2
2012,Female,Araba/Álava,"Per 100,000 inhabitants",2.5
2010,Female,Araba/Álava,"Per 100,000 inhabitants",1.9
2014,Female,Araba/Álava,"Per 100,000 inhabitants",1.2
2016,Female,Araba/Álava,"Per 100,000 inhabitants",0.0
2021,Female,Araba/Álava,"Per 100,000 inhabitants",2.4
2018,Female,Araba/Álava,"Per 100,000 inhabitants",1.2
2023,Female,Bizkaia,"Per 100,000 inhabitants",0.8
2024,Female,Bizkaia,"Per 100,000 inhabitants",0.8
2021,Female,Bizkaia,"Per 100,000 inhabitants",0.8
2020,Female,Bizkaia,"Per 100,000 inhabitants",2.2
2017,Female,Bizkaia,"Per 100,000 inhabitants",1.5
2019,Female,Bizkaia,"Per 100,000 inhabitants",0.8
2018,Female,Bizkaia,"Per 100,000 inhabitants",1.4
2015,Female,Bizkaia,"Per 100,000 inhabitants",1.5
2013,Female,Bizkaia,"Per 100,000 inhabitants",1.3
2012,Female,Bizkaia,"Per 100,000 inhabitants",1.8
2011,Female,Bizkaia,"Per 100,000 inhabitants",1.8
2014,Female,Bizkaia,"Per 100,000 inhabitants",1.0
2010,Female,Bizkaia,"Per 100,000 inhabitants",1.7
2022,Female,Bizkaia,"Per 100,000 inhabitants",1.7
2016,Female,Bizkaia,"Per 100,000 inhabitants",1.7
2023,Female,Gipuzkoa,"Per 100,000 inhabitants",1.1
2022,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2021,Female,Gipuzkoa,"Per 100,000 inhabitants",0.5
2020,Female,Gipuzkoa,"Per 100,000 inhabitants",0.8
2019,Female,Gipuzkoa,"Per 100,000 inhabitants",1.1
2018,Female,Gipuzkoa,"Per 100,000 inhabitants",1.6
2017,Female,Gipuzkoa,"Per 100,000 inhabitants",1.6
2016,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2010,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2015,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2014,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2013,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2012,Female,Gipuzkoa,"Per 100,000 inhabitants",1.7
2011,Female,Gipuzkoa,"Per 100,000 inhabitants",2.5
2024,Female,Gipuzkoa,"Per 100,000 inhabitants",3.0
2012,Male,,"Per 100,000 inhabitants",6.2
2015,Male,,"Per 100,000 inhabitants",5.6
2022,Male,,"Per 100,000 inhabitants",6.0
2020,Male,,"Per 100,000 inhabitants",3.9
2013,Male,,"Per 100,000 inhabitants",6.0
2021,Male,,"Per 100,000 inhabitants",4.9
2016,Male,,"Per 100,000 inhabitants",6.3
2018,Male,,"Per 100,000 inhabitants",4.3
2019,Male,,"Per 100,000 inhabitants",5.4
2011,Male,,"Per 100,000 inhabitants",5.6
2014,Male,,"Per 100,000 inhabitants",4.2
2023,Male,,"Per 100,000 inhabitants",5.2
2024,Male,,"Per 100,000 inhabitants",3.9
2017,Male,,"Per 100,000 inhabitants",4.5
2010,Male,,"Per 100,000 inhabitants",6.6
2024,Male,Araba/Álava,"Per 100,000 inhabitants",4.9
2016,Male,Araba/Álava,"Per 100,000 inhabitants",4.4
2019,Male,Araba/Álava,"Per 100,000 inhabitants",8.7
2023,Male,Araba/Álava,"Per 100,000 inhabitants",3.1
2022,Male,Araba/Álava,"Per 100,000 inhabitants",6.1
2012,Male,Araba/Álava,"Per 100,000 inhabitants",6.3
2015,Male,Araba/Álava,"Per 100,000 inhabitants",3.1
2021,Male,Araba/Álava,"Per 100,000 inhabitants",2.5
2020,Male,Araba/Álava,"Per 100,000 inhabitants",2.5
2010,Male,Araba/Álava,"Per 100,000 inhabitants",4.4
2017,Male,Araba/Álava,"Per 100,000 inhabitants",3.8
2014,Male,Araba/Álava,"Per 100,000 inhabitants",6.3
2018,Male,Araba/Álava,"Per 100,000 inhabitants",5.6
2013,Male,Araba/Álava,"Per 100,000 inhabitants",6.3
2011,Male,Araba/Álava,"Per 100,000 inhabitants",3.8
2024,Male,Bizkaia,"Per 100,000 inhabitants",3.1
2023,Male,Bizkaia,"Per 100,000 inhabitants",3.6
2022,Male,Bizkaia,"Per 100,000 inhabitants",5.3
2021,Male,Bizkaia,"Per 100,000 inhabitants",5.5
2014,Male,Bizkaia,"Per 100,000 inhabitants",3.8
2020,Male,Bizkaia,"Per 100,000 inhabitants",3.6
2016,Male,Bizkaia,"Per 100,000 inhabitants",6.7
2019,Male,Bizkaia,"Per 100,000 inhabitants",5.3
2018,Male,Bizkaia,"Per 100,000 inhabitants",3.8
2017,Male,Bizkaia,"Per 100,000 inhabitants",2.4
2015,Male,Bizkaia,"Per 100,000 inhabitants",3.8
2013,Male,Bizkaia,"Per 100,000 inhabitants",5.2
2012,Male,Bizkaia,"Per 100,000 inhabitants",7.2
2011,Male,Bizkaia,"Per 100,000 inhabitants",5.6
2010,Male,Bizkaia,"Per 100,000 inhabitants",6.6
2018,Male,Gipuzkoa,"Per 100,000 inhabitants",4.6
2017,Male,Gipuzkoa,"Per 100,000 inhabitants",8.3
2016,Male,Gipuzkoa,"Per 100,000 inhabitants",6.6
2015,Male,Gipuzkoa,"Per 100,000 inhabitants",9.5
2011,Male,Gipuzkoa,"Per 100,000 inhabitants",6.4
2014,Male,Gipuzkoa,"Per 100,000 inhabitants",3.7
2013,Male,Gipuzkoa,"Per 100,000 inhabitants",7.2
2012,Male,Gipuzkoa,"Per 100,000 inhabitants",4.6
2010,Male,Gipuzkoa,"Per 100,000 inhabitants",7.6
2024,Male,Gipuzkoa,"Per 100,000 inhabitants",4.8
2023,Male,Gipuzkoa,"Per 100,000 inhabitants",8.5
2022,Male,Gipuzkoa,"Per 100,000 inhabitants",7.1
2021,Male,Gipuzkoa,"Per 100,000 inhabitants",5.1
2020,Male,Gipuzkoa,"Per 100,000 inhabitants",5.1
2019,Male,Gipuzkoa,"Per 100,000 inhabitants",4.0
