Year,Series,Hondakinen tratamendua,Lurralde historikoa,Units,Value
2020,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,492.5
2012,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,501.2
2014,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,510.8
2021,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,515.6
2015,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,501.5
2018,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,535.5
2010,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,491.5
2016,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,514.3
2017,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,520.5
2013,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,498.0
2011,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,463.2
2022,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,503.5
2019,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,513.4
2016,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,419.3
2017,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,433.4
2022,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,412.5
2011,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,441.5
2021,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,420.5
2015,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,422.5
2018,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,469.2
2010,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,463.9
2014,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,408.8
2012,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,423.5
2019,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,428.5
2013,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,399.0
2020,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,424.7
2021,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,566.1
2015,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,504.4
2018,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,562.7
2022,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,560.6
2011,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,470.9
2020,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,544.0
2010,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,504.0
2012,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,535.2
2014,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,521.5
2019,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,566.5
2017,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,558.2
2013,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,524.0
2016,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,527.7
2011,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,460.4
2012,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,481.0
2013,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,499.0
2017,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,500.5
2020,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,443.2
2018,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,522.7
2015,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,532.7
2014,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,539.1
2019,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,468.7
2021,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,479.3
2010,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,483.5
2022,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,454.8
2016,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,535.5
2013,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,%,100.0
2022,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,%,100.0
2021,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,%,100.0
2015,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,%,100.0
2018,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,%,100.0
2014,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,%,100.0
2020,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,%,100.0
2010,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,%,100.0
2019,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,%,100.0
2017,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,%,100.0
2011,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,%,100.0
2016,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,%,100.0
2012,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,%,100.0
2022,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,%,100.0
2020,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,%,100.0
2010,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,%,100.0
2017,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,%,100.0
2018,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,%,100.0
2012,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,%,100.0
