Year,Adina,Lurralde historikoa,Units,Value
2020,10-14 urte,,1.000 biztanleko,0.0
2017,10-14 urte,,1.000 biztanleko,0.1
2011,10-14 urte,,1.000 biztanleko,0.0
2013,10-14 urte,,1.000 biztanleko,0.1
2016,10-14 urte,,1.000 biztanleko,0.0
2024,10-14 urte,,1.000 biztanleko,0.0
2023,10-14 urte,,1.000 biztanleko,0.0
2022,10-14 urte,,1.000 biztanleko,0.1
2019,10-14 urte,,1.000 biztanleko,0.0
2014,10-14 urte,,1.000 biztanleko,0.0
2018,10-14 urte,,1.000 biztanleko,0.1
2012,10-14 urte,,1.000 biztanleko,0.1
2010,10-14 urte,,1.000 biztanleko,0.1
2015,10-14 urte,,1.000 biztanleko,0.0
2021,10-14 urte,,1.000 biztanleko,0.1
2021,10-14 urte,Araba / Álava,1.000 biztanleko,0.1
2017,10-14 urte,Araba / Álava,1.000 biztanleko,0.0
2013,10-14 urte,Araba / Álava,1.000 biztanleko,0.0
2011,10-14 urte,Araba / Álava,1.000 biztanleko,0.2
2016,10-14 urte,Araba / Álava,1.000 biztanleko,0.0
2024,10-14 urte,Araba / Álava,1.000 biztanleko,0.0
2019,10-14 urte,Araba / Álava,1.000 biztanleko,0.0
2023,10-14 urte,Araba / Álava,1.000 biztanleko,0.0
2010,10-14 urte,Araba / Álava,1.000 biztanleko,0.0
2020,10-14 urte,Araba / Álava,1.000 biztanleko,0.0
2012,10-14 urte,Araba / Álava,1.000 biztanleko,0.1
2018,10-14 urte,Araba / Álava,1.000 biztanleko,0.0
2014,10-14 urte,Araba / Álava,1.000 biztanleko,0.0
2022,10-14 urte,Araba / Álava,1.000 biztanleko,0.0
2015,10-14 urte,Araba / Álava,1.000 biztanleko,0.0
2023,10-14 urte,Bizkaia,1.000 biztanleko,0.0
2018,10-14 urte,Bizkaia,1.000 biztanleko,0.1
2022,10-14 urte,Bizkaia,1.000 biztanleko,0.1
2014,10-14 urte,Bizkaia,1.000 biztanleko,0.1
2024,10-14 urte,Bizkaia,1.000 biztanleko,0.0
2013,10-14 urte,Bizkaia,1.000 biztanleko,0.1
2010,10-14 urte,Bizkaia,1.000 biztanleko,0.0
2012,10-14 urte,Bizkaia,1.000 biztanleko,0.2
2017,10-14 urte,Bizkaia,1.000 biztanleko,0.0
2011,10-14 urte,Bizkaia,1.000 biztanleko,0.0
2016,10-14 urte,Bizkaia,1.000 biztanleko,0.0
2019,10-14 urte,Bizkaia,1.000 biztanleko,0.1
2020,10-14 urte,Bizkaia,1.000 biztanleko,0.1
2015,10-14 urte,Bizkaia,1.000 biztanleko,0.1
2021,10-14 urte,Bizkaia,1.000 biztanleko,0.2
2024,10-14 urte,Gipuzkoa,1.000 biztanleko,0.1
2019,10-14 urte,Gipuzkoa,1.000 biztanleko,0.0
2014,10-14 urte,Gipuzkoa,1.000 biztanleko,0.0
2021,10-14 urte,Gipuzkoa,1.000 biztanleko,0.0
2016,10-14 urte,Gipuzkoa,1.000 biztanleko,0.1
2017,10-14 urte,Gipuzkoa,1.000 biztanleko,0.1
2010,10-14 urte,Gipuzkoa,1.000 biztanleko,0.2
