Year,Value,Units,Series
2020,-1.1,Porcentaje,Tasa de crecimiento del gasto familiar per cápita
2012,0.5,Porcentaje,Tasa de crecimiento del gasto familiar per cápita
2020,4.5,Porcentaje,Tasa de crecimiento del ingreso familiar per cápita
2017,0.8,Porcentaje,Tasa de crecimiento del gasto familiar per cápita
2014,-0.9,Porcentaje,Tasa de crecimiento del ingreso familiar per cápita
2015,0.6,Porcentaje,Tasa de crecimiento del gasto familiar per cápita
2019,1.7,Porcentaje,Tasa de crecimiento del gasto familiar per cápita
2016,0.5,Porcentaje,Tasa de crecimiento del gasto familiar per cápita
2012,-1.0,Porcentaje,Tasa de crecimiento del ingreso familiar per cápita
2008,4.2,Porcentaje,Tasa de crecimiento del ingreso familiar per cápita
2018,1.2,Porcentaje,Tasa de crecimiento del gasto familiar per cápita
2011,1.7,Porcentaje,Tasa de crecimiento del gasto familiar per cápita
2014,0.1,Porcentaje,Tasa de crecimiento del gasto familiar per cápita
2022,1.3,Porcentaje,Tasa de crecimiento del gasto familiar per cápita
2021,-0.3,Porcentaje,Tasa de crecimiento del gasto familiar per cápita
2022,3.2,Porcentaje,Tasa de crecimiento del ingreso familiar per cápita
2018,1.6,Porcentaje,Tasa de crecimiento del ingreso familiar per cápita
2013,0.0,Porcentaje,Tasa de crecimiento del gasto familiar per cápita
2016,1.0,Porcentaje,Tasa de crecimiento del ingreso familiar per cápita
