Year,Value,Units,Series
2012,5399.2,Por millón de habitantes,Número de investigadores/as (en equivalente a tiempo completo) por cada millón de habitantes
2014,5536.2,Por millón de habitantes,Número de investigadores/as (en equivalente a tiempo completo) por cada millón de habitantes
2022,6949.4,Por millón de habitantes,Número de investigadores/as (en equivalente a tiempo completo) por cada millón de habitantes
2011,5180.9,Por millón de habitantes,Número de investigadores/as (en equivalente a tiempo completo) por cada millón de habitantes
2010,5098.1,Por millón de habitantes,Número de investigadores/as (en equivalente a tiempo completo) por cada millón de habitantes
2013,5496.2,Por millón de habitantes,Número de investigadores/as (en equivalente a tiempo completo) por cada millón de habitantes
2017,5788.4,Por millón de habitantes,Número de investigadores/as (en equivalente a tiempo completo) por cada millón de habitantes
2021,6560.5,Por millón de habitantes,Número de investigadores/as (en equivalente a tiempo completo) por cada millón de habitantes
2020,6204.9,Por millón de habitantes,Número de investigadores/as (en equivalente a tiempo completo) por cada millón de habitantes
2016,5481.3,Por millón de habitantes,Número de investigadores/as (en equivalente a tiempo completo) por cada millón de habitantes
2015,5564.5,Por millón de habitantes,Número de investigadores/as (en equivalente a tiempo completo) por cada millón de habitantes
2018,6027.3,Por millón de habitantes,Número de investigadores/as (en equivalente a tiempo completo) por cada millón de habitantes
2019,6162.8,Por millón de habitantes,Número de investigadores/as (en equivalente a tiempo completo) por cada millón de habitantes
