Year,Value,Units,Series
2011,0.2,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 por unidad de valor añadido
2014,0.19,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 por unidad de valor añadido
2017,0.19,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 por unidad de valor añadido
2020,0.18,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 por unidad de valor añadido
2010,0.22,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 por unidad de valor añadido
2022,0.18,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 por unidad de valor añadido
2015,0.19,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 por unidad de valor añadido
2016,0.18,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 por unidad de valor añadido
2021,0.18,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 por unidad de valor añadido
2018,0.18,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 por unidad de valor añadido
2012,0.21,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 por unidad de valor añadido
2019,0.18,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 por unidad de valor añadido
2013,0.2,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 por unidad de valor añadido
2010,0.49,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero
2011,0.45,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero
2012,0.45,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero
2013,0.47,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero
2014,0.47,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero
2015,0.45,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero
2016,0.44,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero
2017,0.43,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero
2018,0.41,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero
2019,0.4,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero
2020,0.4,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero
2021,0.41,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero
2022,0.38,Kg de CO2 equivalente por euro de PIB,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero
