Year,Value,Units,Series
2017,363.0,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo
2020,424.0,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo
2016,333.6,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo
2014,319.8,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo
2012,527.1,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo
2021,405.3,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo
2018,358.1,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo
2010,94.6,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo
2013,321.7,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo
2011,399.9,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo
2019,408.7,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo
2015,341.3,Millones de euros,Gasto de las administraciones públicas autonómicas en fomento del empleo
2010,0.9,%,Gasto de las administraciones públicas autonómicas en fomento del empleo en proporción al gasto total
2011,4.0,%,Gasto de las administraciones públicas autonómicas en fomento del empleo en proporción al gasto total
2012,5.2,%,Gasto de las administraciones públicas autonómicas en fomento del empleo en proporción al gasto total
2013,3.4,%,Gasto de las administraciones públicas autonómicas en fomento del empleo en proporción al gasto total
2015,3.4,%,Gasto de las administraciones públicas autonómicas en fomento del empleo en proporción al gasto total
2016,3.2,%,Gasto de las administraciones públicas autonómicas en fomento del empleo en proporción al gasto total
2020,3.6,%,Gasto de las administraciones públicas autonómicas en fomento del empleo en proporción al gasto total
2014,3.2,%,Gasto de las administraciones públicas autonómicas en fomento del empleo en proporción al gasto total
2017,3.4,%,Gasto de las administraciones públicas autonómicas en fomento del empleo en proporción al gasto total
2018,3.1,%,Gasto de las administraciones públicas autonómicas en fomento del empleo en proporción al gasto total
2019,3.4,%,Gasto de las administraciones públicas autonómicas en fomento del empleo en proporción al gasto total
2021,3.2,%,Gasto de las administraciones públicas autonómicas en fomento del empleo en proporción al gasto total
