Year,Series,Edad,Units,Value
2021,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),10-14 años,Por 1.000 habitantes,0.1
2020,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),10-14 años,Por 1.000 habitantes,0.0
2010,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),10-14 años,Por 1.000 habitantes,0.1
2015,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),10-14 años,Por 1.000 habitantes,0.0
2013,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),10-14 años,Por 1.000 habitantes,0.1
2016,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),10-14 años,Por 1.000 habitantes,0.0
2014,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),10-14 años,Por 1.000 habitantes,0.0
2018,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),10-14 años,Por 1.000 habitantes,0.1
2019,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),10-14 años,Por 1.000 habitantes,0.0
2011,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),10-14 años,Por 1.000 habitantes,0.0
2022,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),10-14 años,Por 1.000 habitantes,0.1
2017,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),10-14 años,Por 1.000 habitantes,0.1
2023,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),10-14 años,Por 1.000 habitantes,0.0
2012,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),10-14 años,Por 1.000 habitantes,0.1
2014,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),15-19 años,Por 1.000 habitantes,5.7
2016,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),15-19 años,Por 1.000 habitantes,4.8
2015,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),15-19 años,Por 1.000 habitantes,5.0
2019,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),15-19 años,Por 1.000 habitantes,4.0
2017,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),15-19 años,Por 1.000 habitantes,4.4
2018,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),15-19 años,Por 1.000 habitantes,3.7
2021,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),15-19 años,Por 1.000 habitantes,3.0
2020,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),15-19 años,Por 1.000 habitantes,3.3
2013,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),15-19 años,Por 1.000 habitantes,5.7
2023,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),15-19 años,Por 1.000 habitantes,3.1
2022,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),15-19 años,Por 1.000 habitantes,3.1
2010,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),15-19 años,Por 1.000 habitantes,6.5
2012,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),15-19 años,Por 1.000 habitantes,6.0
2011,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),15-19 años,Por 1.000 habitantes,5.9
