Year,Value,Units,Series
2012,2.1,PT,Research and development expenditure as a proportion of GDP
2014,1.9,PT,Research and development expenditure as a proportion of GDP
2022,2.1,PT,Research and development expenditure as a proportion of GDP
2011,2.0,PT,Research and development expenditure as a proportion of GDP
2010,2.0,PT,Research and development expenditure as a proportion of GDP
2013,2.0,PT,Research and development expenditure as a proportion of GDP
2017,1.8,PT,Research and development expenditure as a proportion of GDP
2021,2.1,PT,Research and development expenditure as a proportion of GDP
2020,2.1,PT,Research and development expenditure as a proportion of GDP
2016,1.8,PT,Research and development expenditure as a proportion of GDP
2015,1.9,PT,Research and development expenditure as a proportion of GDP
2018,1.9,PT,Research and development expenditure as a proportion of GDP
2019,1.9,PT,Research and development expenditure as a proportion of GDP
