Year,Value,Units,Series,GeoCode
2019,9.6,PT,SH_DTH_NCOM,
2015,10.3,PT,SH_DTH_NCOM,
2010,11.0,PT,SH_DTH_NCOM,
2015,651.4,PER_100000_POP,EU_SH_DTH_NCOM,
2017,647.2,PER_100000_POP,EU_SH_DTH_NCOM,
2014,620.7,PER_100000_POP,EU_SH_DTH_NCOM,
2016,641.2,PER_100000_POP,EU_SH_DTH_NCOM,
2010,616.2,PER_100000_POP,EU_SH_DTH_NCOM,
2022,626.3,PER_100000_POP,EU_SH_DTH_NCOM,
2018,648.9,PER_100000_POP,EU_SH_DTH_NCOM,
2020,607.8,PER_100000_POP,EU_SH_DTH_NCOM,
2013,613.0,PER_100000_POP,EU_SH_DTH_NCOM,
2023,613.1,PER_100000_POP,EU_SH_DTH_NCOM,
2012,628.5,PER_100000_POP,EU_SH_DTH_NCOM,
2011,626.3,PER_100000_POP,EU_SH_DTH_NCOM,
2021,622.4,PER_100000_POP,EU_SH_DTH_NCOM,
2019,631.2,PER_100000_POP,EU_SH_DTH_NCOM,
