Year,Edad,Sexo,Territorio histórico,Units,Value
2018,5 años,,,Porcentaje,100.0
2010,5 años,,,Porcentaje,100.1
2014,5 años,,,Porcentaje,99.3
2016,5 años,,,Porcentaje,100.0
2012,5 años,,,Porcentaje,99.7
2013,5 años,,,Porcentaje,99.8
2022,5 años,,,Porcentaje,99.6
2011,5 años,,,Porcentaje,100.3
2020,5 años,,,Porcentaje,99.8
2015,5 años,,,Porcentaje,99.6
2021,5 años,,,Porcentaje,99.1
2017,5 años,,,Porcentaje,99.8
2019,5 años,,,Porcentaje,99.8
2022,5 años,,Araba/Álava,Porcentaje,98.6
2021,5 años,,Araba/Álava,Porcentaje,99.0
2020,5 años,,Araba/Álava,Porcentaje,99.5
2022,5 años,,Bizkaia,Porcentaje,100.1
2021,5 años,,Bizkaia,Porcentaje,99.4
2020,5 años,,Bizkaia,Porcentaje,100.5
2020,5 años,,Gipuzkoa,Porcentaje,98.9
2021,5 años,,Gipuzkoa,Porcentaje,98.6
2022,5 años,,Gipuzkoa,Porcentaje,99.5
2020,5 años,Mujer,,Porcentaje,100.0
2014,5 años,Mujer,,Porcentaje,98.9
2011,5 años,Mujer,,Porcentaje,100.0
2022,5 años,Mujer,,Porcentaje,98.9
2016,5 años,Mujer,,Porcentaje,99.7
2015,5 años,Mujer,,Porcentaje,99.5
2010,5 años,Mujer,,Porcentaje,99.7
2019,5 años,Mujer,,Porcentaje,99.9
2017,5 años,Mujer,,Porcentaje,99.8
2013,5 años,Mujer,,Porcentaje,99.6
2012,5 años,Mujer,,Porcentaje,98.5
2018,5 años,Mujer,,Porcentaje,99.9
2021,5 años,Mujer,,Porcentaje,98.6
2022,5 años,Mujer,Araba/Álava,Porcentaje,98.8
2020,5 años,Mujer,Araba/Álava,Porcentaje,100.0
2021,5 años,Mujer,Araba/Álava,Porcentaje,98.6
2022,5 años,Mujer,Bizkaia,Porcentaje,99.0
2020,5 años,Mujer,Bizkaia,Porcentaje,100.8
2021,5 años,Mujer,Bizkaia,Porcentaje,99.0
2020,5 años,Mujer,Gipuzkoa,Porcentaje,98.8
2021,5 años,Mujer,Gipuzkoa,Porcentaje,98.0
2022,5 años,Mujer,Gipuzkoa,Porcentaje,98.8
2021,5 años,Hombre,,Porcentaje,99.5
2016,5 años,Hombre,,Porcentaje,100.4
2017,5 años,Hombre,,Porcentaje,99.8
2014,5 años,Hombre,,Porcentaje,99.7
2019,5 años,Hombre,,Porcentaje,99.8
2020,5 años,Hombre,,Porcentaje,99.6
2011,5 años,Hombre,,Porcentaje,100.6
2022,5 años,Hombre,,Porcentaje,100.4
2015,5 años,Hombre,,Porcentaje,99.6
2012,5 años,Hombre,,Porcentaje,100.7
2010,5 años,Hombre,,Porcentaje,100.6
2013,5 años,Hombre,,Porcentaje,100.0
2018,5 años,Hombre,,Porcentaje,100.2
2020,5 años,Hombre,Araba/Álava,Porcentaje,99.0
2022,5 años,Hombre,Araba/Álava,Porcentaje,98.4
2021,5 años,Hombre,Araba/Álava,Porcentaje,99.4
2022,5 años,Hombre,Bizkaia,Porcentaje,101.1
2020,5 años,Hombre,Bizkaia,Porcentaje,100.1
2021,5 años,Hombre,Bizkaia,Porcentaje,99.8
2020,5 años,Hombre,Gipuzkoa,Porcentaje,99.0
2022,5 años,Hombre,Gipuzkoa,Porcentaje,100.2
2021,5 años,Hombre,Gipuzkoa,Porcentaje,99.2
