Year,Servicios básicos,Units,Value
2011,Electricidad,%,100.0
2016,Electricidad,%,100.0
2021,Electricidad,%,100.0
2022,Electricidad,%,100.0
2017,Electricidad,%,100.0
2010,Electricidad,%,100.0
2014,Electricidad,%,100.0
2013,Electricidad,%,100.0
2015,Electricidad,%,100.0
2012,Electricidad,%,100.0
2023,Electricidad,%,100.0
2018,Electricidad,%,100.0
2020,Electricidad,%,100.0
2019,Electricidad,%,100.0
2021,Conexión a internet,%,98.1
2015,Conexión a internet,%,100.0
2013,Conexión a internet,%,92.2
2019,Conexión a internet,%,96.8
2014,Conexión a internet,%,93.1
2011,Conexión a internet,%,83.5
2012,Conexión a internet,%,89.7
2017,Agua potable,%,100.0
2014,Agua potable,%,100.0
2018,Agua potable,%,100.0
2015,Agua potable,%,100.0
2016,Agua potable,%,100.0
2012,Agua potable,%,100.0
2019,Agua potable,%,100.0
2013,Agua potable,%,100.0
2010,Agua potable,%,100.0
2011,Agua potable,%,100.0
2020,Agua potable,%,100.0
2021,Agua potable,%,100.0
2022,Agua potable,%,100.0
2023,Agua potable,%,100.0
2011,Baños separados por sexo,%,100.0
2012,Baños separados por sexo,%,100.0
2013,Baños separados por sexo,%,100.0
2015,Baños separados por sexo,%,100.0
2023,Baños separados por sexo,%,100.0
2019,Baños separados por sexo,%,100.0
2017,Baños separados por sexo,%,100.0
2018,Baños separados por sexo,%,100.0
2020,Baños separados por sexo,%,100.0
2021,Baños separados por sexo,%,100.0
2022,Baños separados por sexo,%,100.0
2016,Baños separados por sexo,%,100.0
2014,Baños separados por sexo,%,100.0
2010,Baños separados por sexo,%,100.0
2010,Lavado de manos,%,100.0
2011,Lavado de manos,%,100.0
2012,Lavado de manos,%,100.0
2013,Lavado de manos,%,100.0
2014,Lavado de manos,%,100.0
2015,Lavado de manos,%,100.0
2016,Lavado de manos,%,100.0
2017,Lavado de manos,%,100.0
2021,Lavado de manos,%,100.0
2018,Lavado de manos,%,100.0
2019,Lavado de manos,%,100.0
2020,Lavado de manos,%,100.0
2022,Lavado de manos,%,100.0
2023,Lavado de manos,%,100.0
