Year,Series,Units,Value
2011,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 equivalente por euro de PIB,0.2
2014,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 equivalente por euro de PIB,0.19
2017,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 equivalente por euro de PIB,0.19
2020,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 equivalente por euro de PIB,0.18
2010,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 equivalente por euro de PIB,0.22
2022,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 equivalente por euro de PIB,0.18
2015,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 equivalente por euro de PIB,0.19
2016,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 equivalente por euro de PIB,0.18
2021,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 equivalente por euro de PIB,0.18
2018,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 equivalente por euro de PIB,0.18
2012,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 equivalente por euro de PIB,0.21
2019,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 equivalente por euro de PIB,0.18
2013,Emisiones de CO2 por unidad de valor añadido,Kg de CO2 equivalente por euro de PIB,0.2
2010,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 equivalente por euro de PIB,0.49
2011,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 equivalente por euro de PIB,0.45
2012,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 equivalente por euro de PIB,0.45
2013,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 equivalente por euro de PIB,0.47
2014,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 equivalente por euro de PIB,0.47
2015,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 equivalente por euro de PIB,0.45
2016,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 equivalente por euro de PIB,0.44
2017,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 equivalente por euro de PIB,0.43
2018,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 equivalente por euro de PIB,0.41
2019,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 equivalente por euro de PIB,0.4
2020,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 equivalente por euro de PIB,0.4
2021,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 equivalente por euro de PIB,0.41
2022,Emisiones de CO2 del sector manufacturero por unidad de valor añadido del sector manufacturero,Kg de CO2 equivalente por euro de PIB,0.38
