Disaggregation,eu,es,en,Number of indicators,Number of values
Actividad,Jarduera ekonomikoa,Actividad económica,Economic activity,1,2
Adiccion,Substantzia adiktiboa,Sustancia adictiva,Addictive substance,1,3
Administracion,Administrazio publikoa,Administración pública,Public administration,1,3
Alimento,Elikagai mota,Tipo de alimento,Food,1,8
Categoria,Ur-masen kategoria,Categoría de masas de agua,Category of water bodies,1,5
Comarca,Eskualdea,Comarca,County,21,20
Competencia,Konpetentzia,Tipo de competencia,Type of skill,2,4
Discapacidad,Desgaitasuna,Discapacidad,Disability,2,2
Ecosistema,Ekosistema,Ecosistema,Ecosystem,1,6
Edad,Adina,Edad,Age,4,11
Educacion,Hezkuntza-maila,Nivel educativo,Educational level,2,4
EmpCont,Kontratu mota,Tipo de contrato,Type of contract,1,2
Energia,Teknologia berriztagarri mota,Tipo de tecnología renovable,Type of renewable technology,2,4
Explotacion,Esplotazio mota,Tipo de explotación,Type of operation,1,4
Gasto,Gastua,Nivel de gasto,Expenditure,1,2
Habilidad_IT,Trebetasun informatikoa,Habilidad informática,Computer skills,1,7
Ingreso_cuantil,Diru-sarreren taldea,Grupo de ingresos,Income group,1,1
Institucion,Erakundea,Institución,Institution,1,13
Municipio,Udalerria,Municipio,Municipality,21,252
Nacionalidad,Nazionalitatea,Nacionalidad,Nationality,1,2
NCD,Gaixotasun ez-transmitigarria,Enfermedad no transmisible,Non-communicable disease,1,4
Ocupacion,Okupazioa,Ocupacion,Occupation,1,3
PM,Partikula esekiak,Partículas en suspensión,Particulate matter,2,2
Pobreza,Pobreziaren dimentsioa,Dimensión de la pobreza,Dimension of poverty,1,3
Profesion,Lanbidea,Profesión,Profession,1,4
SectorEmisor,Isurketa sektorea,Sector emisor,Emissions sector,1,7
Series,Seriea,Serie,Series,61,125
ServBasico,Oinarrizko zerbitzuak,Servicios básicos,Basic services,1,5
ServEsencial,Oinarrizko zerbitzuak,Servicios esenciales,Essential services,1,3
ServPub,Zerbitzu publikoak,Servicios públicos,Public services,1,9
Sexo,Sexua,Sexo,Sex,47,2
Tenencia,Edukitza-mota,Tipo de tenencia,Type of tenure,1,2
Territorio,Lurralde historikoa,Territorio histórico,Province,80,3
Tratamiento,Hondakinen tratamendua,Operación de tratamiento de residuos,Waste treatment operation,2,6
Uso,Erabilera mota,Tipo de uso,Type of use,1,6
Vacuna,Txerto mota,Tipo de vacuna,Type of vaccine,1,4
Velocidad,Teknologia,Tecnología de acceso,Access technology,1,4
