Year,Series,Operación de tratamiento de residuos,Territorio histórico,Units,Value
2011,Residuos urbanos recogidos per cápita,,,Kg per cápita,434.5
2012,Residuos urbanos recogidos per cápita,,,Kg per cápita,457.8
2014,Residuos urbanos recogidos per cápita,,,Kg per cápita,469.5
2015,Residuos urbanos recogidos per cápita,,,Kg per cápita,462.3
2022,Residuos urbanos recogidos per cápita,,,Kg per cápita,446.2
2013,Residuos urbanos recogidos per cápita,,,Kg per cápita,463.0
2020,Residuos urbanos recogidos per cápita,,,Kg per cápita,449.7
2017,Residuos urbanos recogidos per cápita,,,Kg per cápita,472.3
2019,Residuos urbanos recogidos per cápita,,,Kg per cápita,469.8
2021,Residuos urbanos recogidos per cápita,,,Kg per cápita,458.4
2016,Residuos urbanos recogidos per cápita,,,Kg per cápita,474.7
2018,Residuos urbanos recogidos per cápita,,,Kg per cápita,485.3
2010,Residuos urbanos recogidos per cápita,,,Kg per cápita,445.9
2016,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,405.5
2010,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,444.9
2018,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,436.3
2021,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,403.8
2013,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,387.0
2012,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,405.3
2011,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,421.7
2020,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,411.1
2019,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,425.4
2017,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,422.3
2015,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,408.7
2014,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,392.3
2022,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,390.6
2022,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,470.8
2020,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,475.2
2013,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,467.6
2011,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,428.2
2018,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,485.1
2017,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,476.6
2015,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,447.2
2014,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,457.8
2019,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,492.7
2021,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,480.3
2010,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,437.1
2016,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,462.7
2012,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,466.3
2015,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,510.7
2010,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,460.2
2018,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,508.0
2011,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,449.9
2022,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,432.9
2017,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,488.1
2013,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,490.0
2012,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,460.5
2019,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,453.7
2020,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,426.7
2014,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,523.3
2021,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,448.6
2016,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,525.3
2017,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2021,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2010,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2012,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2015,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2011,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2022,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2019,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2013,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2016,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2020,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2014,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2018,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2015,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2019,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2013,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2021,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2016,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2014,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2020,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2018,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2010,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2012,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2011,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2022,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2017,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2013,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2016,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2015,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2018,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2010,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2019,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2020,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2017,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2014,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2022,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2011,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2021,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2012,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2016,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2011,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2021,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2018,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2010,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2015,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2019,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2014,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2012,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2017,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2013,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2020,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2022,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,33.3
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,24.7
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,47.2
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,28.2
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,38.0
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,36.4
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,47.4
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,41.5
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,28.5
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,44.7
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,45.4
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,25.6
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,39.3
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,24.2
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,38.4
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,31.5
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,38.9
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,39.2
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,30.6
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,27.0
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,33.7
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,31.3
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,44.9
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,26.6
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,37.9
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,37.1
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,28.7
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,31.2
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,39.2
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,38.1
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,34.8
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,35.8
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,28.2
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,69.3
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,52.9
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,48.3
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,48.7
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,59.3
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,63.4
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,63.5
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,31.9
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,41.9
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,48.4
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,32.5
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,20.9
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,23.3
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,33.9
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,26.6
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,24.3
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,25.6
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,22.8
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,27.9
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,30.8
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,23.5
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,21.4
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,24.7
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Araba/Álava,%,3.7
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Araba/Álava,%,2.9
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Araba/Álava,%,4.3
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Araba/Álava,%,4.4
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Araba/Álava,%,4.2
