Year,Series,Sexo,Units,Value
2013,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,14.8
2015,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,11.8
2023,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,11.0
2022,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,10.8
2012,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,15.8
2021,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,8.4
2019,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,9.0
2014,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,14.8
2016,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,12.7
2017,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,10.5
2018,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,9.9
2020,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,10.7
2016,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,9.6
2018,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,6.9
2017,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,8.5
2020,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,7.8
2015,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,9.7
2021,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,6.7
2023,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,8.2
2019,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,6.6
2022,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,8.5
2012,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,12.5
2013,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,12.2
2014,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,12.1
2018,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,13.1
2012,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,19.3
2021,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,10.1
2014,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,17.7
2023,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,14.0
2020,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,13.9
2016,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,15.9
2013,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,17.5
2015,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,14.0
2017,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,12.6
2019,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,11.6
2022,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,13.3
