Year,Territorio,Units,Value
2022,,PT,99.92
2012,,PT,99.96
2021,,PT,99.94
2016,,PT,99.94
2017,,PT,99.94
2013,,PT,99.96
2014,,PT,99.93
2011,,PT,99.92
2023,,PT,99.91
2020,,PT,99.97
2010,,PT,99.97
2018,,PT,99.94
2019,,PT,99.93
2024,,PT,99.89
2015,,PT,99.88
2013,ES211,PT,99.93
2010,ES211,PT,100.0
2017,ES211,PT,99.9
2014,ES211,PT,99.84
2018,ES211,PT,99.85
2020,ES211,PT,99.92
2021,ES211,PT,99.91
2011,ES211,PT,99.82
2024,ES211,PT,100.0
2015,ES211,PT,99.81
2022,ES211,PT,99.96
2023,ES211,PT,99.91
2019,ES211,PT,99.92
2012,ES211,PT,99.94
2016,ES211,PT,99.83
2011,ES213,PT,99.95
2013,ES213,PT,99.97
2014,ES213,PT,99.96
2015,ES213,PT,99.9
2017,ES213,PT,99.96
2018,ES213,PT,99.94
2019,ES213,PT,99.9
2021,ES213,PT,99.96
2022,ES213,PT,99.88
2023,ES213,PT,99.91
2024,ES213,PT,99.87
2010,ES213,PT,99.96
2020,ES213,PT,99.96
2016,ES213,PT,99.97
2012,ES213,PT,99.96
2024,ES212,PT,99.86
2010,ES212,PT,99.96
2011,ES212,PT,99.93
2012,ES212,PT,99.96
2013,ES212,PT,99.97
2014,ES212,PT,99.94
2015,ES212,PT,99.87
2016,ES212,PT,99.97
2017,ES212,PT,99.93
2018,ES212,PT,99.98
2019,ES212,PT,99.98
2020,ES212,PT,100.0
2021,ES212,PT,99.92
2022,ES212,PT,99.95
2023,ES212,PT,99.91
