Year,Sexo,Units,Value
2016,,PT,0.0
2023,,PT,1.2
2022,,PT,0.7
2010,,PT,0.1
2020,,PT,0.1
2017,,PT,0.0
2015,,PT,0.0
2013,,PT,0.2
2014,,PT,0.4
2024,,PT,1.3
2021,,PT,0.7
2019,,PT,1.1
2012,,PT,0.7
2011,,PT,0.2
2018,,PT,1.1
2010,F,PT,0.1
2011,F,PT,0.2
2012,F,PT,0.4
2014,F,PT,0.4
2015,F,PT,0.0
2016,F,PT,0.0
2017,F,PT,0.0
2019,F,PT,1.3
2013,F,PT,0.2
2020,F,PT,0.2
2021,F,PT,0.7
2022,F,PT,0.9
2018,F,PT,0.9
2023,F,PT,1.3
2024,F,PT,1.7
2024,M,PT,0.9
2017,M,PT,0.0
2013,M,PT,0.2
2010,M,PT,0.1
2018,M,PT,1.3
2019,M,PT,0.9
2011,M,PT,0.2
2014,M,PT,0.4
2020,M,PT,0.0
2021,M,PT,0.6
2015,M,PT,0.0
2012,M,PT,1.1
2022,M,PT,0.5
2023,M,PT,1.0
2016,M,PT,0.0
